Altium Designer Pick and Place Locations
C:\Work\6MS\Hardware\Master Board\ProjectOutputs\PCB Fab\Pick Place\Pick Place for Local Master(Three Resistor).txt

========================================================================================================================
File Design Information:

Date:       11-01-21
Time:       17:26
Revision:   aa3b334c2c4bd404bbbe23983af0b36f8c92ec99
Variant:    Three Resistor
Units used: mm

Designator Comment                                    Layer    Footprint       Center-X(mm) Center-Y(mm) Rotation Description                                
R72        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  144.8000     133.4000     270      "Res 121R 1/4W 1% 1206"                    
R76        "Res 100K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  115.6000     135.0000     90       "Res 100K 1/10W 1% 0603"                   
R77        "Res 100K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  148.8000     140.9000     360      "Res 100K 1/10W 1% 0603"                   
R78        "Res 3.32K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  136.0500     140.9000     180      "Res 3.32K 1/10W 1% 0603"                  
R79        "Res 150K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  120.6000     138.3000     90       "Res 150K 1/10W 1% 0603"                   
R80        "Res 280K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  117.2000     135.0000     270      "Res 280K 1/10W 1% 0603"                   
R81        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  126.7000     119.2000     180      "Res 10.0K 1/10W 1% 0603"                  
R82        "Res 100K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  120.6000     135.0000     90       "Res 100K 1/10W 1% 0603"                   
R83        "Res 100K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  118.9000     135.0000     90       "Res 100K 1/10W 1% 0603"                   
R84        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  132.8000     138.4000     90       "Res 10.0K 1/10W 1% 0603"                  
R85        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  139.3000     138.9000     270      "Res 121R 1/4W 1% 1206"                    
R86        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  142.0500     138.9000     270      "Res 121R 1/4W 1% 1206"                    
R87        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  144.8000     138.9000     270      "Res 121R 1/4W 1% 1206"                    
U2         "IC Optocoupler Bi-Di LED 80-300% SOIC4"   TopLayer MFP127P4.4-4    86.4000      135.9000     360      "IC Optocoupler Bi-Di LED 80-300% SOIC4"   
U4         "IC Voltage Reg LDO 5V SOT-23-5"           TopLayer SOT23-5N        80.1000      107.3000     360      "IC Voltage Reg LDO 5V SOT-23-5"           
R92        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  98.2000      119.5000     180      "Res 10.0K 1/10W 1% 0603"                  
R93        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  98.2000      121.1000     180      "Res 10.0K 1/10W 1% 0603"                  
